filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,3,08/01/2017 to 27/11/2016,3215.00,0.10,1.906814,1.906814
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,4,27/11/2016 to 15/10/2016,7464.00,0.10,3.119603,3.119603
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,5,15/10/2016 to 02/09/2016,7483.00,0.10,2.937772,2.937772
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,6,02/09/2016 to 21/07/2016,6238.00,0.10,2.684851,2.684851
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,7,21/07/2016 to 07/06/2016,6375.00,0.10,2.622820,2.622820
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,8,07/06/2016 to 24/04/2016,6054.00,0.10,2.687587,2.687587
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,9,24/04/2016 to 11/03/2016,6401.00,0.10,2.731270,2.731270
364b9911-6859-464e-a5e3-41149f8e2986.csv,0,19/05/2017 to 06/04/2017,18201.00,0.10,4.524916,4.524916
364b9911-6859-464e-a5e3-41149f8e2986.csv,1,06/04/2017 to 21/02/2017,21454.00,0.10,4.951719,4.951719
364b9911-6859-464e-a5e3-41149f8e2986.csv,2,21/02/2017 to 10/01/2017,19910.00,0.10,4.647145,4.647145
364b9911-6859-464e-a5e3-41149f8e2986.csv,3,10/01/2017 to 28/11/2016,17656.00,0.10,4.751793,4.751793
364b9911-6859-464e-a5e3-41149f8e2986.csv,4,28/11/2016 to 16/10/2016,23506.00,0.10,4.800720,4.800720
364b9911-6859-464e-a5e3-41149f8e2986.csv,5,16/10/2016 to 03/09/2016,18470.00,0.10,4.583023,4.583023
364b9911-6859-464e-a5e3-41149f8e2986.csv,6,03/09/2016 to 22/07/2016,21637.00,0.10,4.893809,4.893809
364b9911-6859-464e-a5e3-41149f8e2986.csv,7,22/07/2016 to 09/06/2016,5434.00,0.10,1.517773,1.517773
364b9911-6859-464e-a5e3-41149f8e2986.csv,8,09/06/2016 to 26/04/2016,1.00,0.10,0.011174,0.011174
364b9911-6859-464e-a5e3-41149f8e2986.csv,9,25/04/2016 to 12/03/2016,1.00,0.10,0.011174,0.011174
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,0,19/05/2017 to 06/04/2017,2820.00,0.10,1.772759,1.772759
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,1,06/04/2017 to 21/02/2017,1957.00,0.10,1.413155,1.413155
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,2,21/02/2017 to 09/01/2017,2352.00,0.10,1.305567,1.305567
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,3,09/01/2017 to 28/11/2016,2843.00,0.10,1.813162,1.813162
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,4,28/11/2016 to 16/10/2016,1239.00,0.10,0.572535,0.572535
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,5,16/10/2016 to 03/09/2016,3169.00,0.10,1.784039,1.784039
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,6,03/09/2016 to 22/07/2016,1974.00,0.10,1.410125,1.410125
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,7,22/07/2016 to 09/06/2016,1959.00,0.10,1.279045,1.279045
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,8,09/06/2016 to 26/04/2016,4244638187.00,0.10,1.528898,1.528898
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,9,26/04/2016 to 12/03/2016,3632.00,0.10,2.196292,2.196292
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,0,19/05/2017 to 06/04/2017,6952.00,0.10,3.872557,3.872557
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,1,06/04/2017 to 20/02/2017,5022.00,0.10,2.810958,2.810958
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,2,20/02/2017 to 09/01/2017,5686.00,0.10,2.913598,2.913598
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,3,09/01/2017 to 27/11/2016,5118.00,0.10,2.849359,2.849359
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,4,27/11/2016 to 15/10/2016,6691.00,0.10,3.223624,3.223624
